employee,story_points,status,priority,time_spent,created,resolved
F_div_Rizwan_62,10.0,Done,Medium,0.0,2026-03-15T17:04:29.600+0530,2026-03-15T17:04:52.766+0530
F_div_Rizwan_62,10.0,In Progress,High,0.0,2026-03-15T16:53:54.072+0530,
F_div_Rizwan_62,0.0,To Do,High,0.0,2026-03-05T22:53:28.013+0530,
Unassigned,0.0,To Do,Low,0.0,2026-03-05T22:08:46.209+0530,
Unassigned,0.0,To Do,Low,0.0,2026-03-05T22:05:49.711+0530,
Unassigned,0.0,To Do,High,0.0,2026-03-05T21:48:34.177+0530,
Unassigned,0.0,To Do,Low,0.0,2026-03-05T21:48:05.842+0530,
Unassigned,0.0,To Do,Low,0.0,2026-03-05T21:42:55.232+0530,
Unassigned,0.0,To Do,Low,0.0,2026-03-05T21:35:07.471+0530,
Unassigned,0.0,To Do,Low,0.0,2026-03-05T21:33:46.942+0530,
Unassigned,0.0,To Do,Low,0.0,2026-03-05T21:30:45.845+0530,
Unassigned,0.0,To Do,High,0.0,2026-03-05T21:27:36.674+0530,
Unassigned,0.0,To Do,High,0.0,2026-03-05T21:23:03.153+0530,
